Name,Rank,Fire Department,Date of Death,Location on Memorial
David Lavine,Lieutenant,Syracuse Fire Department,02/03/1939,17 Top
David L. Blakely,Firefighter,Troy Fire Department,05/03/1868,17 Bottom
David Lemen,Firefighter,North Hornell Fire Department,01/01/1979,  9 Top
David L. Kline,Firefighter,Warsaw Fire Department,01/01/1992,11 Top
David McBride,Firefighter,New York City Fire Department,02/17/1882,15 Bottom
David M. Lynch,Captain,New York City Fire Department,10/31/1927,  5 Top
David Muldrew,Firefighter,New York City Fire Department,02/08/1876,16 Bottom
David M. Weiss,Firefighter,New York City Fire Department,09/11/2001,18 Top
David P. DeRubbio,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
David P. Janora,Assistant Chief,Clarence Ctr Fire Department,01/02/1997,10 Top
"David P. Meron, Sr.",Firefighter,Hoosick Falls Fire Department,07/21/2008,   6 Bottom
David T. Wooley,Captain,New York City Fire Department,09/11/2001,20 Bottom
David Ward,Firefighter,Sag Harbor Fire Department,05/28/1988,11 Top
David Waters,Captain,New York City Fire Department,05/21/1866,17 Bottom
David W. Raymer,Firefighter,New York City Fire Department,03/08/1827,21 Bottom
Denis Donovan,Firefighter,New York City Fire Department,08/17/1920,  6 Top
Denis J. Corrodan,Firefighter,New York City Fire Department,04/10/1952,14 Top
Denis P. Germain,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
Dennis A. Cross,Deputy Chief,New York City Fire Department,09/11/2001,13 Bottom
Dennis J. Healy,Firefighter,New York City Fire Department,03/26/1906,  1 Bottom
"Dennis J. Heedles, Sr. ",Firefighter ,New York City Fire Department ,10/10/2015,19 Top
"Dennis J. Mullins, Jr.",Firefighter,Mount Vernon Fire Department,01/18/1995,10 Top
Dennis L. Devline,Battalion Chief,New York City Fire Department,09/11/2001,15 Bottom
Dennis M. Carey,Firefighter,New York City Fire Department,09/11/2001,17 Bottom
Dennis McGee,Firefighter,New York City Fire Department,01/20/1886,15 Bottom
Dennis McQueenie,Firefighter,New York City Fire Department,07/29/1960,13 Top
Dennis M. Mulligan,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Dennis Mojica,Lieutenant,New York City Fire Department,09/11/2001,10 Bottom
Dennis M. Peterson,Firefighter,New York City Fire Department,12/19/1981,12 Top
Dennis P. McHugh,Firefighter,New York City Fire Department,09/11/2001,15 Top
Dennis P. O’Berg,Firefighter,New York City Fire Department,09/11/2001,  9 Bottom
Dennis Rodd,Firefighter,Coram Fire Department,03/13/1993,10 Top
Dennis Scauso,Firefighter,New York City Fire Department,09/11/2001,  7 Bottom
Dever Morey,Firefighter,Earlville Fire Department,01/01/1975,  8 Top
"Dominic A. LaGudi, Jr.",2nd Assistant Chief,Oceanside Fire Department,04/14/1989,11 Top
Dominick J. Rosato,Firefighter,New York City Fire Department,05/21/1969,  9 Bottom
Dominick Marchese,Firefighter,New York City Fire Department,06/21/1967,  9 Bottom
Dominick Sicot,Firefighter,New York City Fire Department,12/14/1865,17 Bottom
Dominic Villano,Firefighter,New York City Fire Department,05/22/1966,11 Bottom
Donald A. Collins,Firefighter,Schenectady Fire Department,04/19/1996,10 Top
Donald Bradway,Firefighter,Mexico Fire Department,05/27/1964,11 Bottom
Donald C. Pfarner,Firefighter,Boston Fire Department,07/17/1978,  9 Top
Donald E. Faughnan,Assistant Chief,Binghamton Fire Department,05/01/1987,  8 Bottom
Donald E. McFee,Assistant Chief,Mexico Fire Department,08/31/1969,  9 Bottom
Donald E. Starr ,Firefighter ,Fire Department City of Buffalo,08/13/1974,20 Top 
Donald H. Butterfield,Captain,Watertown Fire Department,03/07/1972,  7 Top
Donald Herbert,Firefighter,Buffalo Fire Department,02/21/2006,  3 Top
Donald Hilton,Firefighter,Mellenville Volunteer Fire Company,04/27/1989,11 Top
Donald J. Burns,Assistant Chief,New York City Fire Department,09/11/2001,  6 Bottom
Donald J. Gagnier,Firefighter,Beekmantown Fire Department,04/28/1965,12 Bottom
Donald J. Regan,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Donald J. Smith,Firefighter,East Aurora Fire Department,07/01/1989,11 Top
Donald J. Urbano ,Lieutenant ,Albany Fire Department,11/18/2016,21 Top
Donald K. Bishop,Protective,Albany Fire Department,07/25/1902,13 Bottom
Donald L. Franklin,Firefighter,New York City Fire Department,01/13/2001,  4 Bottom
Donald Marsh,Firefighter,Cicero Fire Department,01/01/1980,  9 Top
Donald M. Bub,Firefighter,New York City Fire Department,06/06/1980,  9 Top
Donald McGeever,Captain,Binghamton Fire Department,09/29/1975,  8 Top
Donald M. Hodgkinson,Past Chief,Sayville Fire Department,07/04/1989,11 Top
Donald O. Smith,Lieutenant,Lockport Fire Department,02/10/1985,  6 Bottom
Donald P. Aversa,Firefighter,New York City Fire Department,01/17/1977,  9 Top
Donald R. Bogash,Firefighter,Riverhead Fire Department,06/27/1983,21 Top
Donald R. Conklin,Firefighter,Chenango Fire Department,12/03/1982,12 Top
Donald R. Henry,Firefighter,Copenhagen Fire Department,08/02/1988,11 Top
Donald R. Totman,Firefighter,McLean Fire Department,08/12/1955,  7 Bottom
"Donald W. Ambler, Sr.",Firefighter,Mohegan Lake Fire Department,03/24/1955,14 Top
Douglas C. Miller,Firefighter,New York City Fire Department,09/11/2001,  5 Top
Douglas E. Oelschlager,Firefighter,New York City Fire Department,09/11/2001,  7 Bottom
Dr. Charles Greene,Firefighter,Peekskill Fire Department,08/01/1918,  2 Top
Duane F. Ahl,Captain,Rotterdam Fire Department,01/18/1988,11 Top
Durrell V. Pearsall,Firefighter,New York City Fire Department,09/11/2001,  6 Top
"Dwight G. Burger, Jr.",Firefighter,South Dansville Fire Department,12/06/1994,10 Top
Dwight L. Seaton,Firefighter,Summit Fire Department,04/30/1972,  7 Top
Dynah Monahan,Firefighter,Elmira Fire Department,01/01/1925,  5 Top
Earl E. Pritchard,Past Chief,Bridgewater Fire Department,10/09/1973,18 Top
"Earl Garrity, III",Firefighter,Port Jervis Fire Department,10/04/1987,11 Top
Earl Geertgens,Firefighter,New Rochelle Fire Department,07/16/1965,  7 Top
Edgar H. Scott,Fire Police Captain,Village of Menands Fire Department,04/03/2007,20 Top
Edmond Kullman,Firefighter,North Bellmore Fire Department,02/16/1973,  7 Top
Edmond Smith,Firefighter,Sea Clift Fire Department,07/18/1929,12 Bottom
Edmund A. Chrosniak,Firefighter,Buffalo Fire Department,09/26/1983,12 Top
Edmund A. McNulty,Lieutenant,New York City Fire Department,04/17/1968,  9 Bottom
Edward A. D’Atri,Lieutenant,New York City Fire Department,09/11/2001,  5 Bottom
Edward A. Dougherty,Captain,New York City Fire Department,10/04/1930,  4 Top
Edward A. Junginger,Past Chief,Levittown Fire Department,09/26/2008,  4 Bottom
Edward A. Maxon,Firefighter,Oswego Fire Department,05/02/1956,  7 Bottom
Edward B. Bellefountaine,Firefighter,Greenport Fire Department,01/01/1977,  9 Top
Edward Burke,Firefighter,New York City Fire Department,06/22/1872,16 Bottom
Edward C. Hackett,Lieutenant,New York City Fire Department,03/02/1970,  8 Bottom
Edward C. Huber,Battalion Chief,New York City Fire Department,07/27/1954,14 Top
Edward C. McCulley,Captain,Oneida Fire Department,09/26/1963,11 Bottom
Edward D. Lahey,Firefighter,New York City Fire Department,09/25/1907,  6 Bottom
Edward D. O’Connell,Lieutenant,New York City Fire Department,08/26/1956,13 Top
Edward Erbland,Past Chief,Ridge-Culver Fire Department,05/05/1981,12 Top
Edward F. Dunn,Firefighter,New York City Fire Department,11/03/1894,14 Bottom
Edward F. Geraghty,Deputy Chief,New York City Fire Department,09/11/2001,  4 Bottom
Edward F. Keating,Firefighter,Patchogue Fire Department,04/11/1950,14 Top
Edward F. Nealis,Captain,New York City Fire Department,05/17/1919,  1 Top
"Edward F. Reilly, Jr. ",Firefighter ,New York City Fire Department ,07/23/2009,21 Top
Edward F. Snediker,Firefighter,New York City Fire Department,08/27/1965,11 Bottom
Edward Gorry,Lieutenant,Garden City Fire Department,12/14/1951,  7 Bottom
Edward Guarino,Firefighter,Eggertsville Hose Fire Department,06/17/1970,  6 Bottom
Edward Hanavan,Firefighter’s Aide,Buffalo Fire Department,12/21/1934,19 Top
Edward Hawkes,Firefighter,Buffalo Fire Department,04/11/1944,16 Top
Edward J. Brickner,Firefighter,Cranesville Fire Department,02/05/1964,19 Top
Edward J. Butler,Lieutenant,Troy Fire Department,01/26/1911,  1 Top
Edward J. Campbell,Firefighter,New York City Fire Department,11/16/1959,13 Top
Edward J. Carroll,Firefighter,New York City Fire Department,04/04/1956,13 Top
Edward J. Chester,Firefighter,Buffalo Fire Department,04/04/1875,  1 Top
Edward J. Coiley,Chief,Moravia Fire Department,04/05/1936,  3 Top
Edward J. Curtin,Firefighter,New York City Fire Department,07/17/1954,14 Top
Edward J. Day,Firefighter,New York City Fire Department,09/11/2001,  6 Bottom
Edward J. Driscoll,Captain,Troy Fire Department,12/07/1967,  9 Bottom
Edward J. Duggan,Captain,Buffalo Fire Department,12/23/1986,12 Top
Edward J. Ehlers,Firefighter,New York City Fire Department,04/20/1970,  8 Bottom
Edward J. Fox,Firefighter,New York City Fire Department,01/27/1927,  5 Top
Edward J. Heaney,Firefighter,New York City Fire Department,07/22/1971,  7 Top
Edward J. Klimas,Firefighter,New York City Fire Department,10/30/1942,17 Top
Edward J. Knapp,Firefighter,New York City Fire Department,07/07/1927,  5 Top
Edward J. Mankuski,Chief,Kings Park Fire Department,02/15/1974,  8 Bottom
"Edward J. Matter, Jr.",Firefighter,Westford Fire Department,03/08/1998,10 Top
Edward J. McDonagh ,Lieutenant ,New York City Fire Department ,11/12/2017,  8 Top
Edward J. Nelson,Firefighter,New York City Fire Department,04/26/1944,16 Top
Edward Johnson,Firefighter,Freeport Fire Department,12/31/1959,14 Top
Edward J. Rall,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
"Edward J. Stanek, Jr.",Firefighter,Yonkers Fire Department,02/11/1974,  8 Top
Edward J. Tuite,Firefighter,New York City Fire Department,10/17/1970,  8 Bottom
"Edward J. White, III",Firefighter,New York City Fire Department,09/11/2001,  7 Top
Edward J. Winewski,Firefighter,New York City Fire Department,02/23/1975,  8 Top
Edward Kazanacki,Firefighter,Terryville Fire Department,01/01/1974,  8 Top
Edward Kearney,Captain,Schenectady Fire Department,03/20/1975,  8 Bottom
Edward L. Gommenginger,Tillerman,Rochester Fire Department,11/02/1922,  6 Top
Edward L. Simpson,Firefighter,Mellenville Volunteer Fire Company,07/14/1990,11 Top
Edward Maney,Firefighter,Newburgh Fire Department,11/16/1956,13 Top
Edward McGaul,Firefighter,Huntington Fire Department,01/01/1937,18 Top
Edward M. Supples,Firefighter,Buffalo Fire Department,08/23/1985,12 Top
Edward Mulligan,Firefighter,Buffalo Fire Department,01/27/1961,12 Bottom
Edward M. White,Firefighter,New York City Fire Department,05/28/1962,12 Bottom
Edward Pawlowski,Firefighter,Thomas Corners Fire Department,01/01/1978,  9 Top
Edward P. Scully,Battalion Chief,New York City Fire Department,07/24/1955,14 Top
Edward R. Broeland,Firefighter,Schenectady Fire Department,05/10/1939,17 Top
Edward R. Maloney,Firefighter,New York City Fire Department,08/18/1932,21 Top
Edward R. Skumurski,Firefighter,Schenectady Fire Department,03/26/1975,  8 Bottom
"Edward Rykowski, Jr.",Firefighter,Roslyn-Highland Fire Department,09/03/1979,  9 Top
Edward Shirley,Lieutenant,Syracuse Fire Department,03/11/1977,  8 Bottom
Edward Stanczyk,Firefighter,North Patchogue Fire Department,07/06/1988,11 Top
Edward Steinert,Firefighter,North Bellmore Fire Department,12/02/1973,  7 Top
Edward Thompson,Firefighter,Buffalo Fire Department,11/07/1928,  5 Top
Edward T. Meehan ,Lieutenant ,New York City Fire Department ,02/02/2018,12 Top
Edward Torre,Firefighter,Niagara Falls Fire Department,04/03/1948,15 Top
Edward Vincelette,Firefighter,New York City Fire Department,03/14/1883,15 Bottom
Edward V. Tietjen ,Firefighter ,New York City Fire Department ,11/25/2003,21 Bottom
Edward Walsh,Firefighter,New York City Fire Department,04/01/1896,14 Bottom
Edward White,Captain,Buffalo Fire Department,11/13/1917,  3 Top
Edward W. Jackson,Ex-Chief,Stewart Manor Fire Department,01/31/1955,17 Top
Edward W. Murdock,Firefighter,Port Ewen Fire Department,01/10/1991,11 Top
Edward W. Murphy,Lieutenant,Rochester Fire Department,01/08/1901,13 Bottom
Edwin C. Remhild,Firefighter,New York City Fire Department,07/11/1964,11 Bottom
Edwin Hoffman,Firefighter,Buffalo Fire Department,08/06/1929,  4 Top
Edwin H. Tobin,Captain,New York City Fire Department,01/24/1900,13 Bottom
"Edwin J. Haungs, Sr.",Firefighter,So. Lockport Fire Department,06/16/1997,10 Top
Edwin J. Hovey,Firefighter,New York City Fire Department,01/16/1946,15 Top
"Edwin M. Rogers, Jr.",Assistant Chief,Saratoga Springs Fire Department,09/18/1963,12 Bottom
Edwin Quick,Firefighter,Roosevelt Fire Department,06/19/1934,10 Bottom
Elbert Hardman,Firefighter,New York City Fire Department,01/09/1945,15 Top
Elias Ovsiovitch,Fire Police,Hillcrest Fire Company,10/17/1994,10 Top
Ellwood T. Raymond,Foreman,North Tonawanda Fire Department,11/28/1930,10 Bottom
Elmer Adkins,Lieutenant,Rochester Fire Department,06/03/1962,12 Bottom
Elmer Cassidy ,Driver,Buffalo Fire Department,02/28/1922,  6 Top
Elmer Lissow,Firefighter,Hilton Fire Department,03/07/1972,  7 Top
Elmer R. Berry,Firefighter,Jamestown Fire Department,01/02/1945,15 Top
Emanuel Adler,Firefighter,New York City Fire Department,11/16/1952,14 Top
Emile A. Steiner,Firefighter,New York City Fire Department,05/22/1944,16 Top
Emilio R. Longo ,Captain ,New York City Fire Department ,08/29/2011,17 Bottom
"Emil J. Durand, Jr.",Ladderman,Albany Fire Department,02/05/1948,15 Top
Emil K. Harnischfeger ,Supervising Fire Marshal ,New York City Fire Department ,05/06/2013,20 Top
Emmet F. Donnelly,Firefighter,New York City Fire Department,06/15/1922,  6 Top
Enrico F. Vendetti,Firefighter,Syracuse Fire Department,07/12/1959,13 Top
Epitanio Gonzalez,Assistant Chief,Rombout Fire Company,11/30/1984,12 Top
Erich Lachmann     ,Firefighter    ,Washington Heights Fire Department     ,,  2 Bottom
Erick W. Thomas,Captain,New York City Fire Department,04/03/1959,13 Top
Eric R. Anderson,Firefighter,New York City Fire Department,12/28/1954,14 Top
Eric T. Allen,Firefighter,New York City Fire Department,09/11/2001,  5 Top
Eric T. Olsen,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Ernest A. Duquette,Firefighter,Glen Park Fire Department,05/12/1983,12 Top 
Ernest F. Kannig,Chief,Huntington Manor Fire Department,11/11/1948,10 Bottom
Ernest G. Stoll,Ex-Lieutenant,Sayville Fire Department,02/27/1953,14 Top
Ernest J. Marquart,Firefighter,New York City Fire Department,06/26/1964,11 Bottom
Ernest J. Welsh,Captain,Yonkers Fire Department,03/20/1937,18 Top
Ernest Kane,Chief ,Glen Fire Department,01/29/1987,11 Top
Ernest L. Heatherman,Firefighter,Brisben Fire Department,02/16/2004,  1 Top
Ernest Mattes,Firefighter,New York City Fire Department,04/26/1935,19 Top
Ernest Smith,Firefighter,Westmoreland Fire Department,07/12/1989,11 Top
Ernest Starrett,Firefighter,Hudson Falls Fire Department,01/16/1910,21 Top
Estes J. Landon,Firefighter,Ithaca Fire Department,12/07/1906,20 Top
E. Timothy Parsell,Captain,Collins Fire Department,11/04/2005,18 Bottom
Eugene Bowers,Battalion Chief,Buffalo Fire Department,09/12/1967,  9 Bottom
Eugene D. Bevan,Firefighter,Whitney Point Fire Department,01/01/1980,  9 Top
Eugene Dean,Firefighter,Mount Vernon Fire Department,01/01/1980,  9 Top
Eugene F. Kelly,Firefighter,New York City Fire Department,03/22/1943,16 Top
Eugene F. Steffens,Firefighter,New York City Fire Department,08/05/1944,16 Top
Eugene G. Dowd,Battalion Chief,New York City Fire Department,01/27/1955,14 Top
Eugene H. Schmitt,Firefighter,Boston Fire Department,07/15/1978,  9 Top
Eugene J. Caffrey,Firefighter,New York City Fire Department,10/20/1921,16 Bottom
Eugene J. McCarey ,Firefighter ,New York City Fire Department ,11/13/2014,  2 Bottom
Eugene J. Studer,Firefighter,New York City Fire Department,11/02/1944,16 Top
Eugene K. Byrne,Firefighter,New York City Fire Department,12/04/1963,12 Bottom
Eugene Miller,Firefighter,Port Chester Fire Department,04/10/1991,  8 Bottom
Eugene M. Whelan,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Eugene P. Lessard,Firefighter,Mattituck Fire Department,01/01/1957,13 Top
Eugene R. Miller,Firefighter,New York City Fire Department,12/24/1968,  9 Bottom
Eugene Underhill,Firefighter,New York City Fire Department,07/01/1834,20 Bottom
Everett D. Holdridge,Assistant Chief,Ancram Fire Department,04/13/1963,21 Top
Everett Hull,Firefighter,Castile Fire Department,01/01/1974,  8 Top
Everitt L. Wilcox,Firefighter,Arkport Fire Department,07/10/1927,10 Bottom
Ezra M. Hough,Firefighter,Syracuse Fire Department,08/20/1841,19 Bottom
Fabian J. Echevarrieta,Firefighter,New York City Fire Department,01/07/1974,  8 Top
"Faustino Apostol, Jr.",Firefighter,New York City Fire Department,09/11/2001,  5 Top
F. A. Ward,Firefighter,New York City Fire Department,07/01/1834,20 Bottom
Felix A. D’Avignon,Firefighter,Mechanicville Fire Department,02/25/1945,21 Bottom
Felix J. Jankowski,Firefighter,Elmira Fire Department,03/12/1954,14 Top
Ferdinand Bartz,Firefighter,North Java Fire Department,01/01/1983,12 Top
Ferdinand Z. Riviello,Firefighter,New York City Fire Department,02/20/1933,19 Top
Ferrell F. Finkle,Firefighter,Kingston Fire Department,09/24/1937,18 Top
Floyd E. Coon,Firefighter,Horseheads Fire Department,07/20/1982,12 Top
Floyd L. Adel,Firefighter,Fulton Fire Department,12/04/1914,  4 Top
Fordham O’Dell,Lieutenant,North Bellmore Fire Department,04/21/1932,  8 Bottom
Francis B. Miller,Firefighter,Hastings On The Hudson Fire Department,06/10/1962,12 Bottom
"Francisco Graca, Jr.",Firefighter,Ossining Fire Department,04/11/1949,15 Top
Francis E. Furch,Firefighter,Binghamton Fire Department,12/31/1977,  9 Top
Francis Esposito,Firefighter,New York City Fire Department,09/11/2001,  8 Bottom
Francis Fitzgerald,Firefighter,Buffalo Fire Department,03/08/1974,  8 Top
Francis Hanavan,Firefighter,Buffalo Fire Department,07/14/1984,12 Top
Francis J. Hehar,Firefighter,Binghamton Fire Department,09/26/1898,   3 Bottom
Francis J. Martin,Lieutenant,New York City Fire Department,03/09/1972,  7 Top
Francis J. Novak,Ex-Captain,Babylon Fire Department,12/14/1981,12 Top
Francis Joseph,Lieutenant,New York City Fire Department,03/08/1827,21 Bottom
Francis J. Quinn,Firefighter,New York City Fire Department,02/01/1887,15 Bottom
